PrimaryXsiType|SecondaryXsiType|SubjectArea|WithinHierarchy|ContOfsawCriteriaElmOp||Path|Name|ContOfFilterSawxExprElm|ColumnID|ExprXsiType|ContOfsawxExprElm|ContOfsawDisplayFormatElm|Suppress|FontColor|WrapText|ContOfsawFormatSpecElm|DataFormatXsiType|Commas|NegativeType|MinDigits|MaxDigits|ContOfsawTableHeadingElm|fmt|ContOfsawCaptionElm|ContOfsawTextElm|ContOfColHeadSawDisplayFormatElm|ContOfColHeadSawFormatSpecElm|ColumnFMT|ContOfColHeadSawCaptionElm|ContOfColHeadSawTextElm|ContOfsawColumnsElm|
saw:simpleCriteria|saw:regularColumn|"SampleSalesLite"|true|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|null|null|null|null|c0545fc88c51ed19f|sawx:sqlExpression|"Products"."LOB"|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|
saw:simpleCriteria|saw:regularColumn|"SampleSalesLite"|true|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|null|null|null|null|cf3ecf44d91195a20|sawx:sqlExpression|"Products"."ProductType"|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|
saw:simpleCriteria|saw:regularColumn|"SampleSalesLite"|true|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|null|null|null|null|cc51f8332ff6a6b0e|sawx:sqlExpression|"Products"."Brand"|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|
saw:simpleCriteria|saw:regularColumn|"SampleSalesLite"|true|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|null|null|null|null|c041a898ef5bf3194|sawx:sqlExpression|"Time"."PerNameYear"|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|
saw:simpleCriteria|saw:regularColumn|"SampleSalesLite"|true|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|null|null|null|null|cbc1151f230220be1|sawx:sqlExpression|Right("Time"."PerNameQtr",1)|null|null|null|null|null|null|null|null|null|null|Time|text|Time|Time|null|null|text|Quarter#|Quarter#|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|
saw:simpleCriteria|saw:regularColumn|"SampleSalesLite"|true|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|null|null|null|null|cfd897ed95be34ae3|sawx:sqlExpression|"Time"."PerNameMonth"|null|null|null|null|null|null|null|null|null|null|Time|text|Time|Time|null|null|text|Month|Month|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|
saw:simpleCriteria|saw:regularColumn|"SampleSalesLite"|true|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|null|null|null|null|c77ee3ea1d28bcc0b|sawx:sqlExpression|right("Time"."PerNameMonth",2)|null|null|null|null|null|null|null|null|null|null|Time|text|Time|Time|null|null|text|Month#|Month#|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|
saw:simpleCriteria|saw:regularColumn|"SampleSalesLite"|true|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|null|null|null|null|cdbce78c4c850bf64|sawx:sqlExpression|right("Time"."PerNameWeek",2)|null|null|null|null|null|null|null|null|null|null|Time|text|Time|Time|null|null|text|Week#|Week#|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|
saw:simpleCriteria|saw:regularColumn|"SampleSalesLite"|true|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|null|null|null|null|cdf93622f8cd15879|sawx:sqlExpression|"Time"."CalendarDate"|null|null|null|null|null|null|null|null|null|null|Time|text|Time|Time|null|null|text|Date|Date|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|
saw:simpleCriteria|saw:regularColumn|"SampleSalesLite"|true|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|null|null|null|null|ca5b8ea81fd41cad8|sawx:sqlExpression|"BaseFacts"."Revenue"|null|null|null|null|null|null|null|null|null|null|null|null|null|Time|null|null|text|Date|Date|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|
saw:simpleCriteria|saw:regularColumn|"SampleSalesLite"|true|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|null|null|null|null|cc64acff16b82c99f|sawx:sqlExpression|@{global.variables.Discount_Rate}|null|null|null|null|null|null|null|null|null|null|ProfitMetrics|text|ProfitMetrics|ProfitMetrics|null|null|text|DiscountRate|DiscountRate|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|
saw:simpleCriteria|saw:regularColumn|"SampleSalesLite"|true|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|null|null|null|null|c105911cb9683eb86|sawx:sqlExpression|"BaseFacts"."DiscountAmount"|null|null|null|null|null|null|null|null|null|null|null|null|null|ProfitMetrics|null|null|text|DiscountRate|DiscountRate|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|
saw:simpleCriteria|saw:regularColumn|"SampleSalesLite"|true|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|null|null|null|null|c45b065d5c0645c34|sawx:sqlExpression|"Orders"."OrderStatus"|null|null|null|null|null|null|null|null|null|null|null|null|null|ProfitMetrics|null|null|text|DiscountRate|DiscountRate|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|
saw:simpleCriteria|sawx:savedFilter|"SampleSalesLite"|true|"Products"."LOB""Products"."ProductType""Products"."Brand""Time"."PerNameYear"Right("Time"."PerNameQtr",1)TimeQuarter#"Time"."PerNameMonth"TimeMonthright("Time"."PerNameMonth",2)TimeMonth#010203040506070809right("Time"."PerNameWeek",2)TimeWeek#"Time"."CalendarDate"TimeDate"BaseFacts"."Revenue"@{global.variables.Discount_Rate}ProfitMetricsDiscountRate"BaseFacts"."DiscountAmount""Orders"."OrderStatus"|/shared/SampleLite/_filters/SampleSalesLite/PromptedFilters|PromptedFilters|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|
